Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BlissAlarm\Project Outputs for BlissAlarm\Pick Place\Pick Place for BlissAlarm(Build_Alt).txt

========================================================================================================================
File Design Information:

Date:       17/10/23
Time:       01:41
Revision:   1464170ddc047e390aa211adf6531b3effb172d2
Variant:    Build_Alt
Units used: mil

Designator Comment                      Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                       
C22        "CAP 0603 0.1UF 16V 10% X7R" TopLayer 0603_CAP                        2238.405      1329.224      90       "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C21        "CAP 0603 0.1UF 16V 10% X7R" TopLayer 0603_CAP                        2310.000      1329.224      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C20        "CAP 0603 0.1UF 16V 10% X7R" TopLayer 0603_CAP                        2166.774      1095.039      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C19        "CAP 0603 0.1UF 16V 10% X7R" TopLayer 0603_CAP                        2231.102      1160.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C18        "4.7UF 16V"                  TopLayer 0805_CAP                        373.858       1767.952      180      "Capacitor Surface Mount 0805 Footprint 4.7UF 16V 10% Tolerance Ceramic X7R"                                                      
C17        "4.7UF 16V"                  TopLayer 0805_CAP                        639.885       2252.559      180      "Capacitor Surface Mount 0805 Footprint 4.7UF 16V 10% Tolerance Ceramic X7R"                                                      
C16        "1uF 16V"                    TopLayer 0603_CAP                        498.432       2303.293      180      "Capacitor Surface Mount 0603 Footprint 1UF 16V 10% Tolerance Ceramic X7R"                                                        
C15        "0.1UF 16V"                  TopLayer 0603_CAP                        695.194       523.514       90       "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C14        "1uF 16V"                    TopLayer 0603_CAP                        862.712       303.013       90       "Capacitor Surface Mount 0603 Footprint 1UF 16V 10% Tolerance Ceramic X7R"                                                        
C13        18pF                         TopLayer 0603_CAP                        1786.697      837.222       180      "Capacitor Surface Mount 0603 Footprint 18PF 50V 5% Tolerance Ceramic C0G"                                                        
C12        18pF                         TopLayer 0603_CAP                        1643.996      838.498       0        "Capacitor Surface Mount 0603 Footprint 18PF 50V 5% Tolerance Ceramic C0G"                                                        
C11        "10UF 16V"                   TopLayer 0805_CAP_60H                    1785.479      594.063       0        "Capacitor Surface Mount 0805 Footprint 10UF 16V 20% Tolerance Ceramic X7R"                                                       
C10        "10UF 16V"                   TopLayer 0805_CAP_60H                    1082.860      1565.133      90       "Capacitor Surface Mount 0805 Footprint 10UF 16V 20% Tolerance Ceramic X7R"                                                       
C9         "CAP 0603 4700PF 50V 5% C0G" TopLayer 0603_CAP                        1935.726      945.000       90       "Capacitor Surface Mount 0603 Footprint 4700PF 50V 5% Tolerance Ceramic C0G"                                                      
C8         "CAP 0603 4700PF 50V 5% C0G" TopLayer 0603_CAP                        1956.878      738.924       90       "Capacitor Surface Mount 0603 Footprint 4700PF 50V 5% Tolerance Ceramic C0G"                                                      
C7         "0.1UF 16V"                  TopLayer 0603_CAP                        639.885       1688.484      0        "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C6         "0.1UF 16V"                  TopLayer 0603_CAP                        895.607       1430.166      90       "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C5         "47pF 50V 5%"                TopLayer 0603_CAP                        457.224       1502.177      90       "Capacitor Surface Mount 0603 Footprint 47PF 50V 5% Tolerance Ceramic C0G"                                                        
C4         "47pF 50V 5%"                TopLayer 0603_CAP                        457.945       1644.712      270      "Capacitor Surface Mount 0603 Footprint 47PF 50V 5% Tolerance Ceramic C0G"                                                        
C3         "4.7UF 16V"                  TopLayer 0805_CAP                        259.682       2293.155      0        "Capacitor Surface Mount 0805 Footprint 4.7UF 16V 10% Tolerance Ceramic X7R"                                                      
C2         "0.1UF 16V"                  TopLayer 0603_CAP                        377.674       2286.024      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
C1         "0.01uF 16V"                 TopLayer 0603_CAP                        410.534       1303.531      180      "Capacitor Surface Mount 0603 Footprint 0.01UF 16V 10% Tolerance Ceramic X7R"                                                     
B2         PTS810SJK250SMTRLFS          TopLayer PTS810SJK250SMTRLFS-Footprint-1 2267.677      721.567       270      "Keypad Switch, 1 Switches, SPST, Momentary tactile button, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"         
B1         PTS810SJK250SMTRLFS          TopLayer PTS810SJK250SMTRLFS-Footprint-1 2283.425      1534.805      270      "Keypad Switch, 1 Switches, SPST, Momentary tactile button, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"         
